//X	Y	Z	Scalar field
4157080.02799988	671308.71160030	4774753.71900177	566936640.000000
4157080.16300201	671308.68140030	4774753.57899857	567136640.000000
4157080.32399750	671308.63290024	4774753.44699860	567336640.000000
4157080.48699951	671308.60709953	4774753.32300186	567536704.000000
4157080.64099884	671308.57250023	4774753.22100067	567736768.000000
4157080.75499725	671308.53129959	4774753.08800125	567936704.000000
4157080.84600067	671308.49400043	4774752.94800186	568136704.000000
4157080.96700287	671308.45380020	4774752.82300186	568336640.000000
4157081.10399628	671308.42380047	4774752.73600006	568536704.000000
4157081.23000336	671308.38469982	4774752.61800003	568736768.000000
4157081.38400269	671308.35739994	4774752.51599884	568936640.000000
4157081.51799774	671308.31210041	4774752.40599823	569136640.000000
4157081.66600037	671308.27639961	4774752.29600143	569336704.000000
4157081.81099701	671308.21790028	4774752.17900085	569536704.000000
4157081.93800354	671308.17879963	4774752.06200027	569736768.000000
4157082.04499817	671308.11429977	4774751.95100021	569936704.000000
4157082.14299774	671308.05560017	4774751.84799957	570136704.000000
4157082.31300354	671308.03839970	4774751.78400040	570336640.000000
4157082.44000244	671308.01430035	4774751.70299911	570536704.000000
4157082.57299805	671307.99849987	4774751.63100052	570736768.000000
4157082.69100189	671307.95050001	4774751.53499985	570936704.000000
4157082.82099915	671307.91949987	4774751.43999863	571136704.000000
4157082.94100189	671307.88679981	4774751.36700058	571336704.000000
4157083.08699799	671307.85809994	4774751.27299881	571536768.000000
4157083.25599670	671307.84089994	4774751.20800018	571736768.000000
4157083.37699890	671307.80070019	4774751.08300018	571936640.000000
4157083.53800201	671307.77470016	4774750.97299957	572136704.000000
4157083.71499634	671307.75110006	4774750.86399841	572336704.000000
4157083.88999939	671307.73470020	4774750.75500107	572536704.000000
4157084.05699921	671307.71710014	4774750.58599854	572736768.000000
4157084.21399689	671307.70510006	4774750.43899918	572936704.000000
4157084.37400055	671307.73850012	4774750.32199860	573136704.000000
4157084.50099945	671307.72919989	4774750.22700119	573336704.000000
4157084.63500214	671307.78809977	4774750.10200119	573536704.000000
4157084.74299622	671307.81300020	4774749.99200058	573736768.000000
4157084.90299988	671307.86859989	4774749.91299820	573936704.000000
4157084.98799896	671307.94189978	4774749.80199814	574136704.000000
4157085.15200043	671308.03540039	4774749.70100021	574336704.000000
4157085.23699951	671308.13099957	4774749.56100082	574536704.000000
4157085.35299683	671308.25389957	4774749.44300079	574736768.000000
4157085.47399902	671308.38510036	4774749.33399963	574936704.000000
4157085.55000305	671308.52400017	4774749.20800018	575136704.000000
4157085.64800262	671308.67380047	4774749.07600021	575336704.000000
4157085.70200348	671308.83880043	4774748.97999954	575536704.000000
4157085.74099731	671308.99400043	4774748.88499832	575736768.000000
4157085.79900360	671309.17450047	4774748.79600143	575936704.000000
4157085.86399841	671309.37860012	4774748.73799896	576136704.000000
4157085.93199921	671309.57569981	4774748.66500092	576336640.000000
4157086.01799774	671309.78320026	4774748.61500168	576536704.000000
4157086.10500336	671309.99079990	4774748.56399918	576736768.000000
4157086.15200043	671310.16959953	4774748.49800110	576936640.000000
4157086.21900177	671310.37399960	4774748.42499924	577136704.000000
4157086.27100372	671310.55360031	4774748.38199997	577336704.000000
4157086.29000092	671310.72049999	4774748.31499863	577536704.000000
4157086.33499908	671310.89159966	4774748.27899933	577736768.000000
4157086.37500000	671311.06180000	4774748.22000122	577936640.000000
4157086.39700317	671311.22169971	4774748.13899994	578136704.000000
4157086.44499969	671311.37829971	4774748.10300064	578336640.000000
4157086.47100067	671311.53890038	4774748.04399872	578536704.000000
